PCo1,PCo2,P.copri
0.123919008,0.089848574,0.03272
-0.493846267,-0.106834423,64.04013
0.045577603,-0.064716671,0.03557
0.146769196,-0.174967213,0
-0.14898475,-0.135074571,18.89916
0.192169595,-0.055567968,0
-0.570496326,0.023277791,64.16956
0.127645673,-0.010046876,0.07984
0.049036736,-0.045737575,0.00324
0.045515983,-0.162627423,0
0.181699948,-0.185738751,0.01226
0.015094942,0.177495772,3.27689
0.124911685,0.113668477,0
0.120079298,0.070159261,0
0.110197826,0.06736823,0.07364
0.165330481,-0.173529308,0
0.096547238,0.074853691,0
0.111866276,-0.181157304,0
-0.003516762,0.142234821,3.13902
0.073064642,-0.116854457,0
0.145472595,-0.106651969,0.02663
0.09208365,-0.136794272,0
0.108443038,0.090816094,0.01308
0.049100295,0.073408447,0.10893
0.062108979,0.279011958,0.01477
0.104734261,0.028685495,0.01394
-0.053961028,-0.118521535,7.43473
-0.498325599,-0.211654415,48.86781
0.085050781,-0.097625797,0.02482
0.103111828,-0.151197754,0
-0.505351485,-0.10778813,66.23823
0.1361315,-0.191796163,0
-0.19860224,0.248846605,8.59785
0.056742387,0.207427408,0.83917
-0.014379639,0.343344904,0.31039
-0.308859798,-0.075448407,16.30463
0.091008857,-0.018404416,0
0.080743223,0.077693098,0
-0.03519279,-0.053744802,5.80558
-0.360498358,0.04450047,32.88283
0.085396793,-0.111610245,0
-0.245790463,0.218272642,16.52626
0.070944287,0.176154361,0.00199
0.10648296,-0.273424297,0
0.09332897,-0.123819657,0
0.137331342,0.070271283,0
0.150389725,0.058396645,0.05881
0.17072932,-0.132024978,0.00672
0.10493944,0.027450249,0.00941
0.031527412,-0.165558973,0.02572
-0.082536787,0.319935226,4.53167
0.000333395,0.122178276,0
0.08832045,0.138684704,0.0375
-0.042354603,0.018296223,6.62726
0.1071155,0.046774331,0
-0.505224302,0.224818008,52.11182
0.119440343,0.083665456,0.00249
-0.090294425,0.087715173,0.03784
-0.120972966,-0.154375378,18.34948
0.056450866,0.20296377,1.32118
0.077981992,-0.002916967,0.14566
0.137176759,-0.051589993,0
0.084266527,-0.098319806,0.00302
-0.448460189,-0.152225923,58.5915
0.094330319,0.093533341,0
0.000144342,0.132201322,0
0.072568544,0.130377698,0
0.038397774,-0.179133324,0
0.135486318,-0.128150668,0.12648
0.106715622,0.022578664,0.01026
-0.503692198,-0.034353038,34.52419
0.117708426,-0.085675177,0.85505
-0.255161675,-0.068677318,27.73544
-0.619186275,-0.152908019,83.68716
0.171741184,-0.085997217,0
0.064677976,0.23868284,0
0.086285394,-0.168503987,0
0.05533373,-0.222866794,0.00049
0.094813012,0.055222483,1.23085
0.160190779,-0.101000592,0.09937
-0.003458282,0.033890222,5.76254
0.10590672,-0.124237702,0.01632
-0.263239422,0.277044076,15.13539
0.09695258,0.037452003,0
0.093432787,0.043447358,0.018
0.105672655,-0.016591456,0
0.057629421,-0.084926612,0
0.153146973,-0.035770097,0
0.160896321,-0.025830744,0
-0.37809489,-0.114700483,43.85987
0.077076007,0.048544627,0.25068
0.120034916,-0.132631239,0
0.087438669,0.033624889,0.01983
0.083788076,-0.069683792,0.08167
0.145056641,-0.25951236,0
0.098806014,0.099617021,0.00874
0.126557597,0.081340059,0.35977
0.015978515,0.081028738,0.6593
0.174239383,0.015741855,0
0.141871468,-0.021265499,0.00617
0.018380347,-0.196513845,0.00481
0.118673505,-0.021207035,0.00634
0.138887098,0.045962813,0.00428
0.180536271,-0.124583667,0.34131
0.050225399,0.047909405,0.84286
0.096449632,-0.060785661,0
0.129176442,-0.053091295,0.02343
-0.034013,0.185181577,3.96537
0.002602667,0.139778595,0.00768
0.047901622,-0.025905581,0
0.114618737,-0.077174998,0
0.079324254,-0.066418636,0.00085
0.134140306,-0.032471815,0.04835
0.192393797,-0.165719409,0
0.03020011,0.111000924,0.03725
0.085469577,0.040560734,0
0.077445824,-0.042664243,0.02802
0.097321409,0.029011242,0.24271
0.061348201,0.049111609,0
-0.013051342,0.224056024,0.00114
-0.102854559,0.182287214,8.68677
-0.138100752,0.238900216,10.97749
0.025798975,0.223941183,0.2571
0.08304925,0.269228189,0.03789
0.136512279,0.058095867,0.00296
0.150789337,-0.178494755,0
0.040686323,0.090869886,1.11921
0.077309624,0.112066515,0.08098
-0.58763772,-0.140374405,81.59987
-0.095302758,0.165922969,11.13118
0.046424452,-0.035061049,1.49916
0.196646818,-0.234422498,0
0.114020387,0.305861983,0
-0.159091806,0.020945068,13.24156
-0.160473768,-0.223492024,19.25927
0.073874137,-0.181892655,0
0.090535012,0.091609931,0
-0.166085155,0.086487303,15.28627
-0.040394085,0.189967074,5.83435
0.077138196,0.120932334,0.01389
0.098944482,-0.050444285,0
0.118943754,-0.15773589,0.00735
0.129390405,0.004477034,0
0.083561353,-0.203521688,0.01593
-0.045466791,0.057305137,0
0.089629032,-0.0691368,0
-0.065689772,0.066717908,0.02786
0.055194216,-0.2384444,0
-0.426193712,-0.001831083,50.20616
-0.014100491,0.168683847,4.76656
0.029798241,0.164827301,0.0187
0.145790565,-0.115353938,0.00057
-0.258894249,0.051343177,20.9619
0.100111936,0.094593626,0
-0.30160654,-0.135414427,26.57238
0.12572923,0.134942752,0
0.002395212,0.306493172,3.14191
0.079018348,0.207147982,0
0.091919281,0.232498292,0
0.090117121,-0.030035042,0.01035
0.154126103,-0.201419483,0.00148
0.057171236,-0.010495106,0
-0.005301427,-0.031416661,0.00207
-0.359273438,-0.08558809,28.87226
0.080976798,-0.082516547,0
