BC_Spec,BC_PWY,BC_VF,BC_CARD,RELATIONSHIP.0
0.648489916,0.211587308,0.370375084,0.481036759,1stDEG.SEP
0.718699488,0.204811352,0.740985912,0.725931473,RND.PAIR
0.681701352,0.163457487,0.968538814,0.64888842,1stDEG.SEP
0.544775347,0.195006824,0.725900426,0.332145846,1stDEG.COH
0.585403889,0.159419775,0.608117917,0.162821933,1stDEG.SEP
0.789474034,0.423280972,0.893498988,0.947501586,RND.PAIR
0.704097344,0.286120964,1,0.428826127,RND.PAIR
0.465186878,0.198997946,0.836300125,0.66802224,RND.PAIR
0.623245388,0.186248756,0.967957353,0.431841588,1stDEG.COH
0.883291307,0.31984009,0.996618509,0.607430802,RND.PAIR
0.642334484,0.147720221,0.912528991,0.752607647,1stDEG.SEP
0.655635033,0.15572838,0.967546223,0.765157397,1stDEG.SEP
0.616170604,0.124768673,0.93810128,0.387890408,1stDEG.SEP
0.349735479,0.200785853,0.507551075,0.968797412,1stDEG.COH
0.497133296,0.201573702,0.878699014,0.677666774,RND.PAIR
0.50312535,0.240235413,0.641351438,0.829176504,1stDEG.COH
0.449377191,0.17569185,0.28606452,0.312759329,RND.PAIR
0.566247113,0.104914321,0.669650932,0.439285862,1stDEG.SEP
0.798198715,0.261015007,0.752450247,0.726885217,1stDEG.SEP
0.783570154,0.204733193,0.939221107,0.656262164,RND.PAIR
0.470911008,0.235511474,0.823412019,0.331739571,RND.PAIR
0.840508059,0.199946482,0.988760238,0.728345923,RND.PAIR
0.518516021,0.148186147,1,0.375669146,1stDEG.SEP
0.587297123,0.139821563,0.952221598,0.75587066,RND.PAIR
0.490723232,0.310371206,0.625328292,0.963205829,1stDEG.COH
0.457660575,0.118194538,0.746824809,0.395835763,RND.PAIR
0.327199336,0.197216108,0.822642597,0.540401657,RND.PAIR
0.555242732,0.193588151,0.955926796,0.691803878,RND.PAIR
0.538494267,0.227232716,0.996202626,0.507079099,1stDEG.SEP
0.723761264,0.180578058,0.907264527,0.690416276,1stDEG.SEP
0.573379442,0.17377807,0.204147525,0.554427772,1stDEG.SEP
0.458379775,0.233491118,0.514968946,0.370426242,1stDEG.COH
0.774748647,0.224221472,0.858945153,0.429986462,RND.PAIR
0.569516326,0.1521581,0.494965506,0.541156848,RND.PAIR
0.505951782,0.183189979,0.977891213,0.720636339,RND.PAIR
0.900129452,0.160938896,0.833663906,0.163187517,RND.PAIR
0.648715638,0.196142382,0.833203831,0.840020505,RND.PAIR
0.499657727,0.15011007,0.628319172,0.730405923,RND.PAIR
0.514491667,0.202796891,0.833695657,0.492594697,1stDEG.SEP
0.72274676,0.250412839,1,0.959249582,RND.PAIR
0.818722999,0.21949481,0.515233317,0.503583059,1stDEG.SEP
0.842918965,0.210215996,0.94678079,0.618548629,RND.PAIR
0.709752211,0.154782213,0.51135077,0.891471597,1stDEG.SEP
0.748944928,0.179777712,0.765654257,0.754347317,RND.PAIR
0.607183052,0.169572444,0.979860694,0.188908193,RND.PAIR
0.682570669,0.186716108,0.94979132,0.588083534,RND.PAIR
0.687343916,0.192906562,0.545454545,0.56811985,RND.PAIR
0.949389649,0.339755136,0.857535414,0.821725451,RND.PAIR
0.53096615,0.139814483,0.89183978,0.831039507,RND.PAIR
0.661251196,0.198051035,0.926640232,0.860799814,RND.PAIR
0.817381469,0.236530053,0.985114997,0.927285442,RND.PAIR
